"<5.45 23:36:55> [START_TIMER] 1#114#120", -- [1]
"<200.20 23:40:09> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [111]
"<200.20 23:40:09> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [113]
"<202.24 23:40:11> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [115]
"<202.24 23:40:11> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [117]
"<204.27 23:40:13> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [119]
"<204.27 23:40:13> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [121]
"<206.30 23:40:15> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [123]
"<206.30 23:40:15> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [125]
"<208.31 23:40:17> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [127]
"<208.31 23:40:17> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [129]
"<210.32 23:40:19> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [131]
"<210.32 23:40:19> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [133]
"<210.58 23:40:20> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [134]
"<212.35 23:40:21> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [136]
"<212.35 23:40:21> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [138]
"<214.36 23:40:23> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [140]
"<214.36 23:40:23> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [142]
"<216.39 23:40:26> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [144]
"<216.39 23:40:26> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [146]
"<217.87 23:40:27> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [147]
"<218.38 23:40:28> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [149]
"<218.38 23:40:28> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [151]
"<218.68 23:40:28> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [152]
"<219.89 23:40:29> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [153]
"<220.40 23:40:30> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [155]
"<220.40 23:40:30> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [157]
"<222.33 23:40:31> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [158]
"<222.40 23:40:32> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [160]
"<222.40 23:40:32> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [162]
"<223.53 23:40:33> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [163]
"<224.43 23:40:34> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [165]
"<224.43 23:40:34> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [167]
"<224.75 23:40:34> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [168]
"<226.46 23:40:36> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [170]
"<226.46 23:40:36> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [172]
"<227.17 23:40:36> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [173]
"<228.39 23:40:38> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [174]
"<228.48 23:40:38> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [176]
"<228.49 23:40:38> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [178]
"<229.62 23:40:39> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [179]
"<230.41 23:40:40> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [180]
"<230.49 23:40:40> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [182]
"<230.49 23:40:40> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [184]
"<230.83 23:40:40> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [185]
"<232.50 23:40:42> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [187]
